oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
      29 00				10					SEE: part.1			
      2a 00				11					SEE: part.1			
      2b 00				12					SEE: part.1			
      2c 00				13					SEE: part.1			
      2d 00				14					SEE: part.1			
      2e 00				15					SEE: part.1			
      2f 00				16					SEE: part.1			
      50 00			zone	1								
         00					octave_shift				61	67	-3 .. +3	
         01					switch				0	1		
         02					reserved_1							
         0c					range_lower				0	127		
         0d					range_upper				0	127		
         0e					reserved_2							
         1a					reserved_3							
      51 00				2					SEE: zone.1			
      52 00				3					SEE: zone.1			
      53 00				4					SEE: zone.1			
      54 00				5					SEE: zone.1			
      55 00				6					SEE: zone.1			
      56 00				7					SEE: zone.1			
      57 00				8					SEE: zone.1			
      58 00				9					SEE: zone.1			
      59 00				10					SEE: zone.1			
      5a 00				11					SEE: zone.1			
      5b 00				12					SEE: zone.1			
      5c 00				13					SEE: zone.1			
      5d 00				14					SEE: zone.1			
      5e 00				15					SEE: zone.1			
      5f 00				16					SEE: zone.1			
      60 00			controller									
         00				reserved_1								
         18				arp_zone_number								
         19				reserved								
         54				recommended_tempo					20	250	two nibbles	
         56				reserved								
         59				reserved								
11 00 00 00		performance_part	1									
   00 00 00				patch								
      00 00					common							
         00						name			0	127	ASCII char[12]	
         0c						category			0	127		
         0d						reserved_1						
         0e						level			0	127		
         0f						pan			0	127	
         10						priority			0	1	LAST, LOUDEST	
         11						coarse_tune			16	112	-48 .. +48	
         12						fine_tune			14	114	-50 .. +50	
         13						octave_shift			61	67	-3 .. +3	
         14						stretch_tune_depth			0	3	OFF, 1 .. 3	
         15						analog_feel			0	127		
         16						mono_poly			0	1	MONO, POLY	
         17						legato_switch			0	1		
         18						legato_retrigger			0	1		
         19						portamento	switch						
         1a							mode						
         1b							type						
         1c							start						
         1d							time						
         1e						reserved_2							
         22						cutoff_offset						
         23						resonance_offset						
         24						attack_offset						
         25						release_offset						
         26						velocity_offset						
         27						output_assign						
         28						tmt_control_switch						
         29						bend_range_up						
         2a						bend_range_down						
           						matrix_control						
         2b							1	source	1			
         2c								destination	1			
         2d								sens	1			
         2e								destination	2			
         2f								sens	2			
         30								destination	3			
         31								sens	3			
         32								destination	4			
         33								sens	4			
         34							2					SEE: matrix_control.1
         3d							3					SEE: matrix_control.1
         46							4					SEE: matrix_control.1
         4f						modulation_switch						
      02 00					mfx							
           						type						
           						dry_send						
           						chorus_send						
           						reverb_send						
           						output_assign						
           						control								
         05							1	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         06							1	sens			1	127	-63 .. +63	
         07							2	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         08							2	sens			1	127	-63 .. +63	
         09							3	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         0a							3	sens			1	127	-63 .. +63	
         0b							4	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         0c							4	sens			1	127	-63 .. +63	
         0d							assign	1			0	16	OFF, 1 .. 16	
         0e								2			0	16	OFF, 1 .. 16	
         0f								3			0	16	OFF, 1 .. 16	
         10								4			0	16	OFF, 1 .. 16	
         11						parameter								
         11							1				12768	52768	-20,000 .. +20,000  four nibbles	
         15							2				12768	52768	-20,000 .. +20,000	
         19							3				12768	52768	-20,000 .. +20,000	
         1d							4				12768	52768	-20,000 .. +20,000	
         21							5				12768	52768	-20,000 .. +20,000	
         25							6				12768	52768	-20,000 .. +20,000	
         29							7				12768	52768	-20,000 .. +20,000	
         2d							8				12768	52768	-20,000 .. +20,000	
         31							9				12768	52768	-20,000 .. +20,000	
         35							10				12768	52768	-20,000 .. +20,000	
         39							11				12768	52768	-20,000 .. +20,000	
         3d							12				12768	52768	-20,000 .. +20,000	
         41							13				12768	52768	-20,000 .. +20,000	
         45							14				12768	52768	-20,000 .. +20,000	
         49							15				12768	52768	-20,000 .. +20,000	
         4d							16				12768	52768	-20,000 .. +20,000	
         51							17				12768	52768	-20,000 .. +20,000	
         55							18				12768	52768	-20,000 .. +20,000	
         59							19				12768	52768	-20,000 .. +20,000	
         5d							20				12768	52768	-20,000 .. +20,000	
         61							21				12768	52768	-20,000 .. +20,000	
         65							22				12768	52768	-20,000 .. +20,000	
         69							23				12768	52768	-20,000 .. +20,000	
         6d							24				12768	52768	-20,000 .. +20,000	
         71							25				12768	52768	-20,000 .. +20,000	
         75							26				12768	52768	-20,000 .. +20,000	
         79							27				12768	52768	-20,000 .. +20,000	
         7d							28				12768	52768	-20,000 .. +20,000	
      03 11							29				12768	52768	-20,000 .. +20,000	
         15							30				12768	52768	-20,000 .. +20,000	
         19							31				12768	52768	-20,000 .. +20,000	
